Date,Price
2023-03-02,1
2023-03-03,1.001683
2023-03-06,1.010383
2023-03-07,1.012605
2023-03-08,1.01197
2023-03-09,1.014088
2023-03-10,1.018099
2023-03-13,1.022426
2023-03-14,1.024473
2023-03-15,1.026995
2023-03-16,1.029271
2023-03-17,1.033735
2023-03-20,1.039168
2023-03-21,1.040898
2023-03-22,1.039619
2023-03-23,1.038228
2023-03-27,1.046418
2023-03-28,1.048272
2023-03-29,1.051142
2023-03-30,1.054481
2023-03-31,1.063469
2023-04-03,1.067117
2023-04-04,1.069188
2023-04-05,1.070709
2023-04-10,1.077475
2023-04-11,1.074177
2023-04-12,1.074743
2023-04-13,1.077219
2023-04-14,1.080012
2023-04-17,1.087745
2023-04-18,1.100716
2023-04-19,1.106855
2023-04-20,1.110775
2023-04-21,1.125429
2023-04-24,1.131159
2023-04-25,1.138137
2023-04-26,1.147295
2023-04-27,1.144169
2023-04-28,1.165251
2023-05-02,1.177242
2023-05-03,1.171933
2023-05-04,1.173518
2023-05-05,1.179866
2023-05-08,1.184181
2023-05-09,1.182247
2023-05-10,1.184333
2023-05-11,1.190835
2023-05-12,1.203054
2023-05-15,1.209556
2023-05-16,1.216864
2023-05-17,1.218187
2023-05-18,1.238682
2023-05-19,1.238812
2023-05-22,1.243737
2023-05-23,1.245829
2023-05-24,1.250254
2023-05-29,1.260538
2023-05-30,1.25945
2023-05-31,1.265047
2023-06-01,1.271867
2023-06-02,1.274762
2023-06-05,1.280667
2023-06-06,1.282556
2023-06-07,1.283381
2023-06-08,1.289419
2023-06-09,1.292173
2023-06-12,1.285132
2023-06-13,1.285198
2023-06-14,1.29571
2023-06-15,1.300129
2023-06-16,1.30395
2023-06-21,1.313365
2023-06-22,1.314702
2023-06-23,1.324108
2023-06-26,1.321881
2023-06-27,1.322384
2023-06-28,1.321811
2023-06-29,1.323542
2023-06-30,1.328826
2023-07-03,1.333803
2023-07-04,1.340086
2023-07-05,1.340092
2023-07-06,1.336801
2023-07-07,1.341105
2023-07-10,1.345859
2023-07-11,1.344455
2023-07-12,1.347344
2023-07-13,1.360192
2023-07-14,1.37004
2023-07-17,1.371883
